idx	tokens	parse
0	According to the passage , which of the following is NOT true about football and rugby ?	(PP (PP (VBG According) (PP (TO to) (NP (DT the) (NN passage)))) (, ,) (WHNP (WHNP (WDT which)) (PP (IN of) (NP (DT the) (NN following)))) (S (VP (VBZ is) (RB NOT) (ADJP (JJ true) (PP (IN about) (NP (NN football) (CC and) (NN rugby)))))) (. ?))
1	According to the text we know that	(RRC (PP (VBG According) (PP (TO to) (NP (DT the) (NN text)))) (NP (PRP we)) (VP (VBP know) (SBAR (IN that))))
2	When the writer found the eggs , he .	(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN writer)) (VP (VBD found) (NP (DT the) (NNS eggs))))) (, ,) (NP (PRP he)) (. .))
3	At the end of the story , the writer knew that .	(S (PP (IN At) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT the) (NN story))))) (, ,) (NP (DT the) (NN writer)) (VP (VBD knew) (NP (DT that))) (. .))
4	Which of the following orders is RIGHT about what happened in their travel ?	(SBARQ (WHNP (WHNP (WDT Which)) (PP (IN of) (NP (DT the) (JJ following) (NNS orders)))) (VBZ is) (ADJP (JJ RIGHT) (PP (IN about) (SBAR (WHNP (WP what)) (S (VP (VBD happened) (PP (IN in) (NP (PRP$ their) (NN travel)))))))) (. ?))
5	By using social networking , patients with rare diseases can .	(S (PP (IN By) (S (VP (VBG using) (NP (NNP social) (NN networking))))) (, ,) (NP (NP (NNS patients)) (PP (IN with) (NP (JJ rare) (NNS diseases)))) (VP (MD can)) (. .))
6	Which of the following is NOT true of Dr. Livingston 's software ?	(SBARQ (WHNP (WHNP (WDT Which)) (PP (IN of) (NP (DT the) (NN following)))) (VBZ is) (RB NOT) (ADJP (JJ true) (PP (IN of) (NP (NP (NNP Dr.) (NNP Livingston) (POS 's)) (NN software)))) (. ?))
7	At a town meeting , people do the following things EXCEPT .	(S (PP (IN At) (NP (DT a) (NN town) (NN meeting))) (, ,) (NP (NNS people)) (VP (VBP do) (NP (NP (DT the) (JJ following) (NNS things)) (PP (IN EXCEPT)))) (. .))
8	In the 18th century , who had the right to vote ?	(SBARQ (PP (IN In) (NP (DT the) (JJ 18th) (NN century))) (, ,) (WHNP (WP who)) (SQ (VP (VBD had) (NP (DT the) (NN right) (S (VP (TO to) (VP (VB vote))))))) (. ?))
9	Why has the town meeting been widely imitated ?	(SBARQ (WHADVP (WRB Why)) (SQ (VBZ has) (NP (DT the) (NN town) (NN meeting)) (VP (VBN been) (VP (ADVP (RB widely)) (VBN imitated)))) (. ?))
10	According to the passage , which of the following statements is NOT true ?	(PP (PP (VBG According) (PP (TO to) (NP (DT the) (NN passage)))) (, ,) (WHNP (WHNP (WDT which)) (PP (IN of) (NP (DT the) (JJ following) (NNS statements)))) (VBZ is) (RB NOT) (ADJP (ADJP (JJ true)) (. ?)))
11	This passage mainly talks about .	(S (NP (DT This) (NN passage)) (ADVP (RB mainly)) (VP (VBZ talks) (PP (IN about))) (. .))
12	Where were Everett and Mr. Hanson talking ?	(SBARQ (WHADVP (WRB Where)) (SQ (VBD were) (NP (NP (NNP Everett)) (CC and) (NP (NNP Mr.) (NNP Hanson))) (VP (VBG talking))) (. ?))
13	Everett was trying to persuade Mr. Hanson to .	(S (NP (NNP Everett)) (VP (VBD was) (VP (VBG trying) (S (VP (TO to) (VP (VB persuade) (NP (NNP Mr.) (NNP Hanson)) (S (VP (TO to)))))))) (. .))
14	How did Mr. Hanson finally feel about Everett 's suggestion ?	(SBARQ (WHADVP (WRB How)) (SQ (VBD did) (NP (NNP Mr.) (NNP Hanson)) (ADVP (RB finally)) (VP (VB feel) (PP (IN about) (NP (NP (NNP Everett) (POS 's)) (NN suggestion))))) (. ?))
15	Figaro is .	(S (NP (NNP Figaro)) (VP (VBZ is)) (. .))
16	In this open letter Figaro explains to the people of Molten that .	(S (PP (IN In) (NP (DT this) (JJ open) (NN letter))) (NP (NNP Figaro)) (VP (VBZ explains) (TO to) (NP (NP (DT the) (NNS people)) (IN of) (NP (VBG Molten) (DT that)))) (. .))
17	A possible solution to the crisis , what Figaro suggests is .	(NP (NP (NP (DT A) (JJ possible) (NN solution)) (PP (TO to) (NP (DT the) (NN crisis)))) (, ,) (SBAR (WHNP (WP what)) (S (S (NP (NNP Figaro)) (VP (VBZ suggests))) (VP (VBZ is)))) (. .))
18	We can infer from the passage that .	(S (NP (PRP We)) (VP (MD can) (VP (VB infer) (IN from) (NP (NP (DT the) (NN passage)) (NP (WDT that))))) (. .))
19	The boy threw a brick at the businessman 's car because .	(S (NP (DT The) (NN boy)) (VP (VBD threw) (NP (DT a) (NN brick)) (PP (IN at) (NP (NP (DT the) (NN businessman) (POS 's)) (NN car))) (ADVP (IN because))) (. .))
